onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.51756455	0	Experimental	./Sounds/SHEEP.wav	3.2507249	4.4487249	0
8.25124445	0	Experimental	./Sounds/helicopter.wav	10.1509463	10.8499463	1
15.15109805	0	Control	./Sounds/Woodpckr_CTRL.wav	17.8335298	18.5555298	0
22.83506055	0	Control	./Sounds/VIOLIN_CTRL.wav	27.3836651	28.2476651	1
32.40088105	0	Experimental	./Sounds/Ocean.wav	39.7842141	40.4442141	1
44.78469005	0	Control	./Sounds/DONKEY_CTRL.wav	48.0505195	48.6425195	1
53.05105185	0	Control	./Sounds/BURP_CTRL.wav	54.0008748	54.9738748	1
59.00102585	0	Experimental	./Sounds/SAX.wav	64.7173501	65.3063501	1
69.71803135	0	Control	./Sounds/clock_CTRL.wav	71.3179642	71.4289642	1
76.31756435	0	Control	./Sounds/SCREAM_CTRL.wav	78.4001297	79.3291297	1
83.40086125	0	Experimental	./Sounds/turkey.wav	85.6015526	86.8865526	1
90.59835145	0	Experimental	./Sounds/gong.wav	92.5002481	93.1832481	1
97.50108685	0	Control	./Sounds/footsteps_CTRL.wav	99.9005194	100.5775194	1
104.9006591	0	Experimental	./Sounds/chicken.wav	106.9000828	107.5630828	0
111.9014102	0	Experimental	./Sounds/snore.wav	114.1989963	114.7499963	1
119.2012302	0	Control	./Sounds/ZIPPER_CTRL.wav	121.3332456	121.9252456	1
126.3344589	0	Experimental	./Sounds/DUCK.wav	130.4343065	132.1303065	0
135.4349069	0	Experimental	./Sounds/SNEEZE.wav	137.318085	137.855085	1
142.3180141	0	Control	./Sounds/Baskball_CTRL.wav	146.4507617	147.2297617	1
151.4513396	0	Control	./Sounds/snore_CTRL.wav	153.1500653	153.8570653	1
158.1511571	0	Experimental	./Sounds/bicycle.wav	160.2507981	161.1057981	1
165.2508001	0	Experimental	./Sounds/Whistle.wav	167.134373	167.927373	1
172.1350495	0	Control	./Sounds/SAX_CTRL.wav	178.5506829	179.2786829	1
183.5514493	0	Experimental	./Sounds/Baskball.wav	186.8839131	187.4379131	1
191.8847768	0	Control	./Sounds/chicken_CTRL.wav	194.2848295	195.0438295	1
199.2846964	0	Experimental	./Sounds/Banjo.wav	203.9835613	204.7265613	1
208.9842372	0	Control	./Sounds/Clapping_CTRL.wav	211.667667	212.514667	1
216.6676866	0	Control	./Sounds/gong_CTRL.wav	218.167327	218.752327	1
223.1679062	0	Experimental	./Sounds/Toilet.wav	228.6517582	229.2237582	1
233.6509864	0	Control	./Sounds/ROOSTER_CTRL.wav	236.3509251	236.9999251	1
241.3680447	0	Control	./Sounds/THUNDER_CTRL.wav	246.3842781	246.9482781	1
251.3849091	0	Experimental	./Sounds/frog.wav	253.3846358	254.2146358	1
258.3848531	0	Control	./Sounds/Banjo_CTRL.wav	263.6844519	264.4194519	1
268.6845108	0	Experimental	./Sounds/OWL.wav	271.684114	272.419114	1
276.6851029	0	Experimental	./Sounds/guitar.wav	278.5840781	279.7620781	0
283.5850487	0	Control	./Sounds/Ocean_CTRL.wav	290.5683125	291.1903125	1
295.5672091	0	Experimental	./Sounds/TELEPHON.wav	297.8673759	298.6323759	1
302.8681304	0	Experimental	./Sounds/BURP.wav	303.7176987	305.5976987	0
308.7178645	0	Control	./Sounds/tambourine_CTRL.wav	310.4175933	311.0025933	1
315.4178518	0	Experimental	./Sounds/clock.wav	317.3178984	317.9498984	1
322.3179169	0	Control	./Sounds/parrot_CTRL.wav	324.2143704	324.8333704	1
329.2179609	0	Control	./Sounds/Airplane_CTRL.wav	334.0179454	334.6979454	1
339.0181583	0	Experimental	./Sounds/TRUMPET.wav	341.4005667	341.9895667	1
346.4016295	0	Control	./Sounds/frog_CTRL.wav	348.6013988	349.3433988	1
353.6008954	0	Control	./Sounds/Toilet_CTRL.wav	359.3843168	360.0063168	1
364.384661	0	Experimental	./Sounds/monkey.wav	366.3840275	367.1720275	0
371.3846244	0	Control	./Sounds/guitar_CTRL.wav	373.5840111	374.0150111	1
378.5845061	0	Experimental	./Sounds/Woodpckr.wav	380.3672115	381.0542115	0
385.3681209	0	Control	./Sounds/BOWLING_CTRL.wav	390.8676476	391.4866476	1
395.868142	0	Experimental	./Sounds/Crow.wav	399.0679413	399.7049413	1
