onset	duration	trial_type	stimulus	cue_onset	response_time	accuracy
1.51756702	0	Experimental	./Sounds/chicken.wav	3.6172958	4.1082958	0
8.61784112	0	Control	./Sounds/BURP_CTRL.wav	10.0762262	10.5022262	1
15.07597032	0	Control	./Sounds/TRUMPET_CTRL.wav	17.751125	18.183125	1
22.75131992	0	Experimental	./Sounds/monkey.wav	24.4576613	24.8876613	1
29.47278522	0	Control	./Sounds/Airplane_CTRL.wav	33.7875235	34.1615235	1
38.80764982	0	Experimental	./Sounds/ROOSTER.wav	42.1158025	42.5318025	1
47.14126102	0	Control	./Sounds/THUNDER_CTRL.wav	52.0811711	52.7521711	1
57.09059732	0	Experimental	./Sounds/GARGLING.wav	60.3781816	60.8231816	1
65.38270942	0	Experimental	./Sounds/Baskball.wav	68.6238137	69.1728137	1
73.64138632	0	Control	./Sounds/Ocean_CTRL.wav	80.8386417	81.3326417	1
85.85482572	0	Experimental	./Sounds/Crow.wav	89.2656067	89.7206067	1
94.28307762	0	Experimental	./Sounds/snore.wav	96.6863944	97.0243944	1
101.6914957	0	Control	./Sounds/HARMONCA_CTRL.wav	107.5637662	107.9957662	1
112.566925	0	Control	./Sounds/BOWLING_CTRL.wav	118.4890992	118.8400992	1
123.4983311	0	Experimental	./Sounds/DUCK.wav	127.1045353	127.5925353	1
132.1088832	0	Experimental	./Sounds/Banjo.wav	137.4298022	137.9118022	1
142.4245881	0	Control	./Sounds/Clapping_CTRL.wav	145.7155147	146.2545147	1
150.723638	0	Control	./Sounds/bicycle_CTRL.wav	152.8179629	153.4479629	1
157.8312664	0	Experimental	./Sounds/Whistle.wav	159.8385755	160.2675755	1
164.8403146	0	Control	./Sounds/guitar_CTRL.wav	166.8488678	167.3008678	1
171.8631626	0	Experimental	./Sounds/BOWLING.wav	177.6801931	178.1441931	1
182.691838	0	Control	./Sounds/HARP_CTRL.wav	185.6822015	186.2082015	1
190.6850623	0	Experimental	./Sounds/OWL.wav	193.2928424	193.7838424	1
198.32449	0	Control	./Sounds/Banjo_CTRL.wav	203.5302355	203.9072355	1
208.5329664	0	Control	./Sounds/Woodpckr_CTRL.wav	211.1380744	211.5870744	1
216.1406107	0	Experimental	./Sounds/guitar.wav	217.6466306	218.1046306	0
222.6747368	0	Control	./Sounds/clock_CTRL.wav	224.7807425	225.1967425	1
229.7915492	0	Control	./Sounds/turkey_CTRL.wav	231.2999662	231.7909662	1
236.3156651	0	Experimental	./Sounds/SCREAM.wav	238.6068848	238.9338848	1
243.625682	0	Control	./Sounds/Crow_CTRL.wav	246.8470498	247.3730498	1
251.8577474	0	Control	./Sounds/Sawing_CTRL.wav	254.2663859	254.7183859	1
259.2746759	0	Experimental	./Sounds/DONKEY.wav	262.448449	262.858449	1
267.4399606	0	Control	./Sounds/Flute_CTRL.wav	272.3242256	272.7692256	1
277.3487244	0	Control	./Sounds/OWL_CTRL.wav	279.6629584	280.0949584	1
284.6584014	0	Experimental	./Sounds/footsteps.wav	286.6659913	286.9989913	0
291.673956	0	Control	./Sounds/monkey_CTRL.wav	293.5827045	294.0077045	1
298.5907342	0	Control	./Sounds/Bagpipes_CTRL.wav	301.9668206	302.3988206	1
306.9835694	0	Experimental	./Sounds/LION.wav	309.9580159	310.4000159	1
314.9748005	0	Control	./Sounds/footsteps_CTRL.wav	317.3882307	317.8302307	1
322.3917256	0	Control	./Sounds/ROOSTER_CTRL.wav	325.3143192	325.8213192	1
330.3334008	0	Experimental	./Sounds/SNEEZE.wav	331.82422	332.18822	1
336.832435	0	Control	./Sounds/parrot_CTRL.wav	338.3409481	338.8149481	1
343.3587624	0	Experimental	./Sounds/ZIPPER.wav	345.7960811	346.2720811	1
350.8144557	0	Experimental	./Sounds/Motorcyc.wav	355.571522	356.139522	1
360.5828438	0	Control	./Sounds/TELEPHON_CTRL.wav	363.382244	363.902244	1
368.3882556	0	Experimental	./Sounds/THUNDER.wav	372.9161587	373.3811587	1
377.9321928	0	Control	./Sounds/LION_CTRL.wav	381.6026303	382.0056303	1
386.6255446	0	Experimental	./Sounds/HARP.wav	389.8313151	390.3263151	1
394.8409071	0	Experimental	./Sounds/Woodpckr.wav	397.0478931	397.4898931	1
402.0656018	0	Control	./Sounds/SAX_CTRL.wav	408.2882772	408.7502772	1
